position,artist_name,song_name,days,top_10_x_times,peak_position,peak_position_x_times,peak_streams,total_streams,track_name,artists_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url
3000,SZA ,Far,16,0,26,0,1227489,9165509,Far,SZA,1,2022,12,9,680,0,51641685,2,15,1,0,0,116,D,Major,61,48,55,67,0,16,8,https://i.scdn.co/image/ab67616d0000b27370dbc9f47669d120ad874ec1
3043,Edison Lighthouse ,Love Grows (Where My Rosemary Goes),36,0,93,0,287769,8827139,Love Grows (Where My Rosemary Goes),Edison Lighthouse,1,1970,1,1,2877,0,BPM110KeyAModeMajorDanceability53Valence75Energy69Acousticness7Instrumentalness0Liveness17Speechiness3,16,0,54,0,0,110,A,Major,53,75,69,7,0,17,3,https://i.scdn.co/image/ab67616d0000b2739a0011cc9d31cf969b656905
3054,Kendrick Lamar ,Mr. Morale,14,0,15,0,2094668,8787790,Mr. Morale,"Kendrick Lamar, Tanna Leone",2,2022,5,13,1860,0,58687425,1,0,3,0,0,174,A,Major,73,26,54,30,0,34,32,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f
3173,Adele ,Set Fire to the Rain,52,0,61,0,395768,8012344,Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694,88,112,"2,163",5,519,108,D,Minor,61,47,68,0,0,13,3,https://i.scdn.co/image/ab67616d0000b2732118bf9b198b05a95ded6300
3198,Kenshi Yonezu ,KICK BACK,29,0,59,0,360201,7883030,KICK BACK,Kenshi Yonezu,1,2022,10,12,574,4,210038833,38,101,26,0,0,102,C#,Major,58,29,94,0,0,9,11,https://i.scdn.co/image/ab67616d0000b273303d8545fce8302841c39859
3245,Shakira ,Te Felicito,30,0,124,0,298377,7558521,Te Felicito,"Shakira, Rauw Alejandro",2,2022,4,21,4796,9,606361689,124,66,212,13,1,174,F,Major,70,57,64,23,0,8,32,https://i.scdn.co/image/ab67616d0000b2739a9716c90ceeb1890921e44f
3314,50 Cent ,In Da Club,30,0,29,0,486868,7212722,In Da Club,50 Cent,1,2002,1,1,30427,7,1202722675,235,106,"5,221",1,35,90,F#,Minor,90,79,71,26,0,7,37,https://i.scdn.co/image/ab67616d0000b273f7f74100d5cc850e01172cbf
3332,Kendrick Lamar ,Crown,9,0,13,0,2288034,7068255,Crown,Kendrick Lamar,1,2022,5,13,1493,0,42485571,2,0,10,0,0,170,C#,Minor,37,14,24,80,0,11,4,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f
3341,Benson Boone ,In The Stars,23,0,31,0,524916,7036482,In The Stars,Benson Boone,1,2022,4,29,2224,8,382199619,48,40,87,1,210,78,A#,Major,36,30,54,34,0,14,5,https://i.scdn.co/image/ab67616d0000b273786e4e2c43c2897fafabbfb6
3344,Suki Waterhouse ,Good Looking,22,0,56,0,417080,7030386,Good Looking,Suki Waterhouse,1,2017,10,20,2264,0,184706613,11,6,25,0,1,150,E,Major,37,27,56,8,0,13,3,https://i.scdn.co/image/ab67616d0000b27343bff43a592efe047d2ab9ff
